type,nsamples,acc_suc,acc,tpr,fpr,tp,ap,fb,an,tprs,fprs,auc
all,9855,0.08026382327079773,0.9986808726534754,1.0,0.0026382546930492135,9855,9855,26,9855,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6008117706747844, 0.6010147133434804, 0.7963470319634703, 0.7965499746321664, 0.9261288685946221, 0.9263318112633181, 1.0]","[0.0, 0.00010147133434804668, 0.014814814814814815, 0.015017757483510908, 0.07336377473363774, 0.07356671740233384, 0.07975646879756469, 0.07995941146626079, 0.1328259766615931, 0.13302891933028918, 0.15251141552511416, 0.15271435819381024, 0.24972095383054288, 0.24992389649923896, 0.2573313039066464, 0.25753424657534246, 0.2678843226788432, 0.2680872653475393, 0.3969558599695586, 0.3971588026382547, 0.42252663622526637, 0.42272957889396245, 0.43571790969051244, 0.4359208523592085, 0.46686960933536276, 0.46707255200405884, 0.46839167935058346, 0.46859462201927954, 0.5032978183663115, 0.5035007610350076, 0.5341451040081177, 0.5343480466768138, 0.5772704211060375, 0.5776763064434297, 0.6126839167935059, 0.6128868594622019, 0.6259766615931, 0.6261796042617961, 0.6570268899036023, 0.6572298325722983, 0.6736681887366819, 0.673871131405378, 0.7150684931506849, 0.715271435819381, 0.8016235413495687, 0.8018264840182648, 0.8385591070522578, 0.8387620497209538, 0.9185185185185185, 0.9187214611872146, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0
success,9064,0,0.9985657546337158,1.0,0.0028684907325684027,9064,9064,26,9064,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7857458075904677, 0.7859664607237423, 0.9200132391879965, 0.920233892321271, 1.0]","[0.0, 0.00011032656663724625, 0.015445719329214475, 0.01566637246248897, 0.07579435127978817, 0.07601500441306266, 0.0825242718446602, 0.08274492497793469, 0.1369152691968226, 0.13713592233009708, 0.15677405119152693, 0.15699470432480142, 0.2543027360988526, 0.2545233892321271, 0.26202559576345985, 0.2622462488967343, 0.2729479258605472, 0.2731685789938217, 0.4281774051191527, 0.42839805825242716, 0.44196822594880847, 0.442188879082083, 0.4725286849073257, 0.47274933804060015, 0.47407325684024715, 0.4742939099735216, 0.5079435127978817, 0.5081641659311562, 0.5386142983230362, 0.5388349514563107, 0.5813106796116505, 0.5817519858781994, 0.6161738746690203, 0.6163945278022948, 0.6299646954986761, 0.6301853486319505, 0.6603045013239188, 0.6605251544571933, 0.6767431597528685, 0.6769638128861429, 0.7173433362753752, 0.7175639894086496, 0.8032877316857899, 0.8035083848190644, 0.8401368049426302, 0.8403574580759047, 0.9191306266548985, 0.919351279788173, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0
fail,791,0,1.0,1.0,0.0,791,791,0,791,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0012642225031605564, 1.0, 1.0]",1.0
