type,nsamples,acc_suc,acc,tpr,fpr,tp,ap,fb,an,tprs,fprs,auc
all,9855,0.19807204604148865,0.9986808726534754,1.0,0.0026382546930492135,9855,9855,26,9855,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6008117706747844, 0.6010147133434804, 0.7963470319634703, 0.7965499746321664, 0.9261288685946221, 0.9263318112633181, 1.0]","[0.0, 0.00010147133434804668, 0.06626078132927447, 0.06646372399797057, 0.1115169964485033, 0.1117199391171994, 0.1604261796042618, 0.1606291222729579, 0.20294266869609334, 0.20314561136478945, 0.22699137493658042, 0.2271943176052765, 0.24799594114662607, 0.24819888381532218, 0.2503297818366311, 0.25053272450532726, 0.2616945712836124, 0.2618975139523085, 0.28503297818366313, 0.2852359208523592, 0.2886859462201928, 0.28888888888888886, 0.30268899036022323, 0.3028919330289193, 0.3232876712328767, 0.3234906139015728, 0.39005580923389144, 0.3902587519025875, 0.41359715880263825, 0.41380010147133434, 0.42973110096397765, 0.4299340436326738, 0.4376458650431253, 0.4378488077118214, 0.4573313039066464, 0.4575342465753425, 0.5295788939624556, 0.5297818366311517, 0.5527143581938102, 0.5529173008625063, 0.5545408422120751, 0.5547437848807711, 0.6494165398274987, 0.6496194824961948, 0.6699137493658042, 0.6701166920345003, 0.7116184677828513, 0.7118214104515475, 0.7645865043125317, 0.7647894469812277, 0.7828513444951801, 0.7831557584982243, 0.8937595129375951, 0.8939624556062912, 0.8991374936580416, 0.8993404363267377, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0
success,7903,0,0.9984815892698975,1.0,0.0030368214602049855,7903,7903,24,7903,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.789067442743262, 0.7893205111982792, 0.9229406554472985, 0.9231937239023156, 1.0]","[0.0, 0.00012653422750854106, 0.0693407566746805, 0.06959382512969758, 0.11375427053017842, 0.1140073389851955, 0.1624699481209667, 0.16272301657598381, 0.20511198279134507, 0.20536505124636215, 0.22788814374288244, 0.22814121219789954, 0.2514235100594711, 0.25167657851448816, 0.2616727824876629, 0.26192585094268, 0.2841958749841832, 0.2844489434392003, 0.43375933189927873, 0.43401240035429584, 0.4537517398456282, 0.4540048083006453, 0.647096039478679, 0.647349107933696, 0.7070732633177275, 0.7073263317727445, 0.7809692521827154, 0.7812223206377326, 0.8908009616601291, 0.8910540301151462, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0
fail,1952,0,0.9994877049180327,1.0,0.0010245901639344263,1952,1952,2,1952,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0005122950819672131, 0.32838114754098363, 0.32940573770491804, 1.0, 1.0]",1.0
