type,nsamples,acc_suc,acc,tpr,fpr,tp,ap,fb,an,tprs,fprs,auc
all,9855,0.8217148780822754,0.9986808726534754,1.0,0.0026382546930492135,9855,9855,26,9855,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6008117706747844, 0.6010147133434804, 0.7963470319634703, 0.7965499746321664, 0.9261288685946221, 0.9263318112633181, 1.0]","[0.0, 0.00010147133434804668, 0.1948249619482496, 0.19502790461694572, 0.23815322171486555, 0.23835616438356164, 0.29406392694063926, 0.29426686960933535, 0.3104008117706748, 0.3106037544393709, 0.31922881785895485, 0.31943176052765093, 0.3269406392694064, 0.3271435819381025, 0.36316590563165907, 0.36336884830035515, 0.4119736174530695, 0.4121765601217656, 0.44951801116184675, 0.4497209538305429, 0.4517503805175038, 0.4519533231861999, 0.4985286656519533, 0.4987316083206494, 0.5063419583967529, 0.506544901065449, 0.5316083206494165, 0.5318112633181127, 0.7018772196854388, 0.702080162354135, 0.7545408422120751, 0.7547437848807712, 0.791374936580416, 0.7915778792491122, 0.8188736681887366, 0.8190766108574328, 0.8255707762557077, 0.8257737189244039, 0.980314561136479, 0.980517503805175, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0
success,1757,0,0.9948776323278316,1.0,0.010244735344336939,1757,1757,18,1757,"[0.0, 0.0, 0.0, 0.9664200341491178, 0.9675583380762663, 1.0]","[0.0, 0.0005691519635742744, 1.0, 1.0, 1.0, 1.0]",1.0
fail,8098,0,0.9995060508767597,1.0,0.0009878982464806125,8098,8098,8,8098,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5782909360335885, 0.5785379105952086, 1.0]","[0.0, 0.00012348728081007656, 0.2391948629291183, 0.23944183749073844, 0.29958014324524573, 0.2998271178068659, 0.3172388244010867, 0.31748579896270684, 0.3267473450234626, 0.32699431958508274, 0.3352679673993579, 0.33551494196097803, 0.37391948629291183, 0.374166460854532, 0.42652506791800443, 0.4267720424796246, 0.46653494690046926, 0.4667819214620894, 0.5172882193134107, 0.5175351938750309, 0.5253148925660657, 0.5255618671276858, 0.5522351197826624, 0.5524820943442825, 0.7243763892319092, 0.7246233637935293, 0.7772289454186219, 0.777475919980242, 1.0, 1.0, 1.0, 1.0]",1.0
